artist,music_type
Frank Steiner Jr.,Type B
Peter Bradley Adams,Type B
Ryan Farish,Type B
Lisa Lynne,Type B
R. Carlos Nakai,Type B
Peter Kater,Type B
Reef,Type B
Prince & The Revolution,Type B
Jewel,Type B
Halestorm,Type B
Suburban Kids with Biblical Names,Type B
Michael Franti & Spearhead,Type B
Jay-Z,Type B
Lisandro Aristimuño,Type B
Erika Eigen,Type B
Cathy Dennis,Type B
Isobelle et Jean Luc,Type B
5'nizza,Type B
Deee-Lite,Type B
Motion City Soundtrack,Type B
LFO,Type B
Jamie Woon,Type B
Supergrass,Type B
Danny Byrd,Type B
Good Charlotte,Type B
Starfucker,Type B
Patience & Prudence,Type B
The Pharcyde,Type B
Owen,Type B
Mayer Hawthorne,Type B
India.Arie,Type B
The Walkmen,Type B
The Pinker Tones,Type B
The Asteroids Galaxy Tour,Type B
Kelly Clarkson,Type B
Ariane Moffatt,Type B
News,Type B
Russ Aimz,Type B
The Rentals,Type B
相川七瀬,Type B
Las Ketchup,Type B
Jacques Dutronc,Type B
Yppah,Type B
Pedra Letícia,Type B
Kid Koala,Type B
Frank Black,Type B
Jimmy Cliff,Type B
Ringo Starr,Type B
Karmin,Type B
HOME MADE 家族,Type B
Madness,Type B
K-Maro,Type B
The Divine Comedy,Type B
Pigbag,Type B
Angel City,Type B
"The Waikikis, Prince Paul & Wordsworth",Type B
Malajube,Type B
Gwen Stefani,Type B
One Eskimo,Type B
Guilty About Girls,Type B
Cloud Cult,Type B
Rob Thomas,Type B
Larrikin Love,Type B
M.I.A.,Type B
Emmy the Great,Type B
Nicholas Hooper,Type B
xbxrx,Type B
the Dead Hensons,Type B
Metro Station,Type B
Apollo Sunshine,Type B
Narkotiki,Type B
Bishop Allen,Type B
Nine Days,Type B
Coalishun,Type B
Oh No Oh My,Type B
Train,Type B
Another Soundscape,Type B
Kings of Leon,Type B
Cartel,Type B
Lumen,Type B
Big Cyc,Type B
Bacilos,Type B
Cash Cash,Type B
Die Antwoord,Type B
Ramones,Type B
The Mighty Mighty Bosstones,Type B
Will Ferrell,Type B
菅野よう子,Type B
Gold Motel,Type B
Scissor Sisters,Type B
Robby Benson,Type B
Be Your Own Pet,Type B
Paul Weller,Type B
Christina Milian,Type B
Kristin Andreassen,Type B
Sonic Youth,Type B
Katy Perry,Type B
Frankmusik,Type B
Lou & Peter Berryman,Type B
河辺千恵子,Type B
Michael Franti,Type B
The Beta Band,Type B
Kevin Ayers,Type B
Modern Jazz Quartet With Laurindo Almeida,Type B
Andrew Jackson Jihad,Type B
Oliver Mtukudzi,Type B
Deporitaz,Type B
The Jane Doze,Type B
Grum,Type B
Kehlani,Type B
The Lonely Island,Type B
Hall & Oates,Type B
Murray Head,Type B
Osibisa,Type B
Marine Girls,Type B
Gloria Gaynor,Type B
Marva Hodge & The Moody Sec,Type B
All Time Low,Type B
Woodkid,Type B
Aphex Twin,Type B
Metallspürhunde,Type B
東京事変,Type B
The Seatbelts,Type B
Soda Fountain Rag,Type B
Браво,Type B
Pizzicato Five,Type B
George Gershwin,Type B
Sally Nyolo,Type B
David Newman,Type B
Bel's Boys,Type B
Even In Blackouts,Type B
Roger Whittaker,Type B
Say Jansfield,Type B
Freetempo,Type B
Martin Solveig,Type B
Ola,Type B
Maritime,Type B
木村カエラ,Type B
Basia Bulat,Type B
Milosh,Type B
Embrace,Type B
Sailor,Type B
The Corrs,Type B
Levellers,Type B
They Might Be Giants,Type B
Beautiful Small Machines,Type B
Joseph Linn Singers,Type B
Kraak & Smaak,Type B
Army of Lovers,Type B
Black Kids,Type B
Mungo Jerry,Type B
One Direction,Type B
Jerry Martin,Type B
The Qemists,Type B
